device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity
467858594,6405748348,"(0.419787734746933, 0.3959404230117798)","(-25.519765853881836, 145.29672241210938, 47.030311584472656)",1,4.740081787109375,1,"(-25.72480583190918, 0.970608115196228, 645.0386352539062)","(0.5611755847930908, 0.48246240615844727, 0.49110424518585205)",1,"(0.45775559544563293, 0.3521466851234436)","(-12.136712074279785, 153.45616149902344, 50.00011444091797)",1,4.400146484375,1,"(32.57403564453125, -3.613373279571533, 641.52490234375)","(0.4317864179611206, 0.4975930452346802, 0.4847230315208435)",1
467875248,6405765002,"(0.38812100887298584, 0.33887141942977905)","(-36.68177795410156, 155.92953491210938, 50.900333404541016)",1,4.647918701171875,1,"(-25.859786987304688, 1.054053783416748, 644.0176391601562)","(0.5615634918212891, 0.4822065532207489, 0.4890749454498291)",1,"(0.4402254521846771, 0.2945767045021057)","(-18.3157958984375, 164.18231201171875, 53.90404510498047)",1,4.302291870117188,1,"(32.33214569091797, -3.524064064025879, 640.5215454101562)","(0.43221065402030945, 0.4973391890525818, 0.48269349336624146)",1
467891903,6405781658,"(0.36857685446739197, 0.3011355996131897)","(-43.57075881958008, 162.96026611328125, 53.45933151245117)",1,4.609954833984375,1,"(-26.041521072387695, 1.1999547481536865, 644.0345458984375)","(0.5619620084762573, 0.4817705452442169, 0.4891239106655121)",1,"(0.4253002405166626, 0.25887423753738403)","(-23.576692581176758, 170.83421325683594, 56.32515335083008)",1,4.2711029052734375,1,"(32.118064880371094, -3.376744508743286, 640.5575561523438)","(0.4326891601085663, 0.49689480662345886, 0.4827423095703125)",1
467908558,6405798314,"(0.35220128297805786, 0.2520986795425415)","(-49.34286880493164, 172.0965576171875, 56.78468704223633)",1,4.496002197265625,1,"(-26.051742553710938, 1.1895145177841187, 645.22021484375)","(0.5618787407875061, 0.4818088412284851, 0.4914940297603607)",1,"(0.4000523090362549, 0.217281773686409)","(-32.476173400878906, 178.58349609375, 59.145721435546875)",1,4.1747589111328125,1,"(32.19293975830078, -3.3992831707000732, 641.7418212890625)","(0.43265500664711, 0.4969435930252075, 0.48511558771133423)",1
467925212,6405814968,"(0.35151079297065735, 0.24100187420845032)","(-49.586238861083984, 174.1640625, 57.53718185424805)",1,4.46881103515625,1,"(-26.089141845703125, 1.1559151411056519, 645.346435546875)","(0.5619508624076843, 0.48190781474113464, 0.49174925684928894)",1,"(0.3982761800289154, 0.2165297567844391)","(-33.10222244262695, 178.7235870361328, 59.196712493896484)",1,4.1389007568359375,1,"(32.15653991699219, -3.430147886276245, 641.872314453125)","(0.43275126814842224, 0.4970319867134094, 0.485372930765152)",1
467941867,6405831624,"(0.35096821188926697, 0.23954486846923828)","(-49.77748489379883, 174.43551635742188, 57.635963439941406)",1,4.4002532958984375,1,"(-26.142719268798828, 1.1470866203308105, 645.3048706054688)","(0.562073290348053, 0.48193222284317017, 0.4916703999042511)",1,"(0.3928135633468628, 0.20965451002120972)","(-35.02771759033203, 180.00454711914062, 59.66294479370117)",1,4.060546875,1,"(32.095680236816406, -3.437356948852539, 641.836181640625)","(0.4328829050064087, 0.4970523715019226, 0.4852946698665619)",1
467958522,6405848279,"(0.34798112511634827, 0.24198968708515167)","(-50.83039474487305, 173.9800262451172, 57.470184326171875)",1,4.365386962890625,1,"(-26.197032928466797, 1.1214829683303833, 645.1176147460938)","(0.562210738658905, 0.48200514912605286, 0.4913005232810974)",1,"(0.3911135792732239, 0.2081691324710846)","(-35.62692642211914, 180.2812957763672, 59.76366424560547)",1,4.0336761474609375,1,"(32.022666931152344, -3.460758924484253, 641.6550903320312)","(0.4330258369445801, 0.49712303280830383, 0.48492589592933655)",1
467975176,6405864935,"(0.34672385454177856, 0.24413011968135834)","(-51.2735710144043, 173.58123779296875, 57.325016021728516)",1,4.28973388671875,1,"(-26.232624053955078, 1.0976885557174683, 644.98193359375)","(0.5623021721839905, 0.4820736348628998, 0.491032212972641)",1,"(0.391110360622406, 0.2150540053844452)","(-35.62804412841797, 178.99853515625, 59.296749114990234)",1,3.959274291992188,1,"(31.97655487060547, -3.481550455093384, 641.523193359375)","(0.43311432003974915, 0.4971858263015747, 0.4846580922603607)",1
467991831,6405881593,"(0.3476015031337738, 0.2477596551179886)","(-50.9642219543457, 172.9049835205078, 57.07889175415039)",1,4.2777099609375,1,"(-26.28070068359375, 1.0708221197128296, 644.8507080078125)","(0.5624209046363831, 0.4821508824825287, 0.4907737970352173)",1,"(0.39282819628715515, 0.21755780279636383)","(-35.02254867553711, 178.5320587158203, 59.1269645690918)",1,3.936355590820313,1,"(31.919334411621094, -3.4997074604034424, 641.3966674804688)","(0.43322816491127014, 0.49724045395851135, 0.4843999147415161)",1
468008486,6405898252,"(0.34783458709716797, 0.25030019879341125)","(-50.88205337524414, 172.43162536621094, 56.90664291381836)",1,4.213668823242188,1,"(-26.29582977294922, 1.061335802078247, 644.921875)","(0.5624481439590454, 0.4821789264678955, 0.49091723561286926)",1,"(0.3937234580516815, 0.2277013212442398)","(-34.706993103027344, 176.6421661376953, 58.43911361694336)",1,3.87933349609375,1,"(31.912071228027344, -3.5032174587249756, 641.4689331054688)","(0.43325239419937134, 0.49724939465522766, 0.4845435917377472)",1
